rank,Youtuber,subscribers,video views,video count,category,started
468,Fun Face Paint,867000,187832805,21,Education,2016
469,"Hilf Mir! Jung, pleite, verzweifelt",865000,791435667,848,Entertainment,2018
470,ثائر TG,863000,23758765,289,Entertainment,2017
471,Spielzeug Wunderland,858000,1068077266,959,Film & Animation,2016
472,Mark Forster,857000,713817167,159,Entertainment,2011
473,Deutschland sucht den Superstar,853000,961330884,1815,Entertainment,2012
474,SPORT1,853000,1220331098,18302,Sports,2006
475,Centex,853000,890829921,2687,Gaming,2015
476,Germany's Next Topmodel,850000,1815057174,3320,Entertainment,2013
477,Faktastisch,848000,209455894,537,Entertainment,2013
478,Estas Tonne,846000,93404749,326,Music,2006
479,Slavik Junge,843000,119123892,190,People & Blogs,2019
480,MGP,842000,189722928,562,Entertainment,2011
481,World War Two,842000,163593591,757,Education,2018
482,Aditotoro Shorts,842000,630838402,476,Comedy,2021
483,Mehr Anzeigen,835000,331856478,1055,Entertainment,2019
484,Held der Steine Inh. Thomas Panke,835000,349345971,1301,Entertainment,2014
485,Bibi & Tina TV,834000,747922358,671,Music,2012
486,Das Supertalent,831000,628056407,984,Entertainment,2008
487,MIRACULOUS - Geschichten von Ladybug und Cat Noir,829000,649712680,711,Film & Animation,2018
488,Mrmobilefanboy,828000,546198425,9882,Gaming,2012
489,Lusor Koeffizient,827000,639894245,8564,Gaming,2013
490,OfficialArdianBujupi,824000,574959247,190,Entertainment,2011
491,Kathi,823000,193744340,962,Howto & Style,2010
492,Alycia Marie,822000,168837068,599,Howto & Style,2008
493,OCB Relax Music,822000,401720635,417,,2009
494,SpongeBOZZ,821000,205100314,71,Entertainment,2013
495,StanPlay,821000,350310612,4297,Gaming,2015
496,"Netflix Deutschland, Österreich und Schweiz",820000,184035467,2964,Entertainment,2014
497,DAZN UEFA Champions League,820000,524944586,1251,Sports,2018
498,Laura Kampf,818000,91681870,411,Howto & Style,2015
499,Mathe - simpleclub,817000,147832275,435,Education,2011
500,DJEkkiMusic,817000,245194120,283,Entertainment,2012
501,Michael Smolik,816000,171684523,462,Sports,2015
502,Volbeat,815000,785828724,52,Entertainment,2013
503,OST BOYS,814000,114508213,224,People & Blogs,2016
504,How2Shirli,813000,946593820,736,People & Blogs,2021
505,BeautxVlogs,813000,109775964,240,People & Blogs,2016
506,Marky,812000,167590889,418,Gaming,2017
507,HYPERBOLE,811000,161601462,349,News & Politics,2013
508,Need To Know,809000,84601148,123,Entertainment,2015
509,FabianMagic,809000,374300217,410,Comedy,2018
510,Abgegrieft,806000,493860303,1894,Entertainment,2013
511,Köln 50667,806000,670858457,1633,Entertainment,2013
512,Kayla Shyx,806000,81772506,127,People & Blogs,2016
513,LinaRode,806000,364946523,131,Entertainment,2016
514,Ruhrpottwache,805000,728433107,3298,Entertainment,2017
515,TopSpeedGermany,805000,208822328,147,Autos & Vehicles,2019
516,DominoKati,804000,159793432,691,Howto & Style,2011
517,SPORT BILD,804000,241354656,7430,Sports,2014
518,مارد العرب,803000,0,0,Education,2017
519,Simon Will,803000,146742860,649,People & Blogs,2010
520,Mê Mụi,802000,689443777,1317,People & Blogs,2012
521,Einfach und lecker,801000,156575041,726,People & Blogs,2020
522,Pokémon Challenges,793000,146484788,522,Gaming,2016
523,Maren Wolf,792000,29148544,127,Howto & Style,2009
524,Mike Singer,789000,198764290,139,Entertainment,2012
525,TheBestCubeHD,789000,176890361,167,Film & Animation,2012
526,NintenU,789000,707554040,4232,Gaming,2012
527,ARD,785000,192594967,2200,News & Politics,2005
528,Malternativ,783000,296251637,1077,Education,2016
529,KinderLernTV,783000,971147489,1188,Film & Animation,2014
530,Anni The Duck,782000,127169525,281,Entertainment,2017
531,annablutube,781000,149707688,52,Music,2010
532,Robert Marc Lehmann - Mission Erde,780000,127591552,440,Travel & Events,2021
533,PARTY ROCKZZ,780000,284059128,469,Entertainment,2012
534,Lecker mit Sophie Mayer,780000,125571222,602,People & Blogs,2020
535,Lena,778000,177699541,294,Entertainment,2015
536,2Bough,776000,323739141,2194,Entertainment,2006
537,PelMen,775000,113398755,67,,2022
538,Iratsch,775000,119004486,313,Entertainment,2013
539,Nekky Natural Remedies,775000,48878767,635,,2018
540,Senioren Zocken,775000,90302136,529,Gaming,2015
541,SidneyEweka,774000,99976910,373,Gaming,2013
542,Debitor,772000,368086951,8725,Gaming,2010
543,Bundeswehr,771000,461622190,3553,News & Politics,2006
544,FaxxenTV,770000,77379842,247,Entertainment,2014
545,Braxic,768000,134453349,614,Gaming,2018
546,Kids TV Channel Deutschland - Deutsch Kinderlieder,768000,273207255,523,People & Blogs,2016
547,Jumanji TM,767000,163781576,312,Entertainment,2016
548,Quarks,764000,164290583,929,Science & Technology,2018
549,diejungs,762000,159578479,718,People & Blogs,2006
550,Marvin,759000,67180134,92,Entertainment,2011
551,Shock Frost,758000,264011490,631,Gaming,2011
552,Taymetic,758000,152069337,575,Entertainment,2017
553,der MMA,757000,470926481,509,Sports,2010
554,ОЛЕГ ВИННИК,757000,462404197,108,Music,2011
555,REDEMPTION,757000,482441945,1730,Film & Animation,2022
556,Dner,756000,124726730,1070,Gaming,2016
557,Spass für Kinder,756000,774553315,832,Education,2014
558,vkgoeswild,754000,228728183,1014,Music,2007
559,Marti Fischer,753000,119575437,350,Entertainment,2007
560,Martin Miller,752000,133015332,226,Music,2006
561,MOB,751000,80417142,60,Gaming,2014
562,TeamFilGer,749000,339985602,773,Entertainment,2020
563,earMUSIC,749000,601610108,1841,Music,2009
564,Alligatoah,746000,473953113,261,Entertainment,2006
565,NIZE,745000,296394474,463,Entertainment,2015
566,RTL,745000,674656846,65260,News & Politics,2008
567,Leckere Gerichte,745000,171520574,620,Education,2021
568,FeelGamingTV,744000,247659234,2735,Gaming,2012
569,Mein Herz schlägt Schlager,743000,1179230229,1083,Entertainment,2006
570,AlpaySanti Shorts,741000,556340048,854,People & Blogs,2020
571,DW Türkçe,739000,271528123,7948,Science & Technology,2011
572,Andre Krieger (CommanderKrieger),734000,187723091,4850,Nonprofits & Activism,2010
573,Team Darkside,734000,296156023,765,Gaming,2013
574,Sportschau,732000,219802415,1775,Sports,2015
575,Admin,732000,0,0,People & Blogs,2016
576,Lindemann - Offiziell,728000,162022227,27,Entertainment,2014
577,Reved,724000,178575002,1041,Gaming,2014
578,LumeXx,722000,230493837,678,Entertainment,2020
579,Tim Gabel,721000,231907743,1033,Entertainment,2013
580,DANCE ENERGY dance studio,720000,189876317,149,Entertainment,2009
581,NebelNiek,719000,158472309,565,Gaming,2013
582,AndyGM en Berlín,718000,42580793,476,People & Blogs,2014
583,Miguel Pablo,716000,40945790,48,Entertainment,2010
584,Papaplatte,715000,120571902,273,Gaming,2014
585,ungefilmt,714000,126871416,230,People & Blogs,2013
586,Fero47,712000,188952310,19,Music,2018
587,Sashka,712000,83026246,252,Entertainment,2015
588,Sonny Loops,710000,177712367,1036,Entertainment,2014
589,MckyTV,709000,193217367,1235,Gaming,2016
590,Sev,708000,367275790,2331,Gaming,2014
591,Souryaz TV,708000,33541010,154,Film & Animation,2018
592,TryReact,706000,321695705,1232,Gaming,2018
593,DW বাংলা,706000,83487746,1488,People & Blogs,2013
594,EHRENPFLAUME,705000,71568368,115,Entertainment,2020
595,Kick11,704000,38372914,417,Sports,2014
596,Vinny Piano,702000,228583738,201,Entertainment,2013
597,Lamiya Slimani,701000,43869290,274,People & Blogs,2009
598,FlorianOnAir,700000,259042497,1622,Entertainment,2011
599,InsecthausTV,699000,363217155,461,Pets & Animals,2012
600,Noel Dederichs Shorts,698000,528775555,564,Comedy,2022
601,Gesundheitsblatt,697000,225588232,1830,Howto & Style,2017
602,Hatice Schmidt,697000,205342212,821,Howto & Style,2011
603,Evanijo,697000,144276237,510,Entertainment,2014
604,Hypnotize Entertainment,695000,506365193,93,Music,2013
605,AltanaBananaTV,694000,9401160,11,Entertainment,2010
606,Sweky Bros,693000,14618815,29,People & Blogs,2011
607,Dark Monkey Music,692000,106263801,410,Music,2011
608,F.CHARM,689000,379941519,131,Music,2012
609,Chimperator Channel,688000,717477132,1020,Entertainment,2007
610,Rundumleuchte1,686000,431612288,3980,Autos & Vehicles,2009
611,Coupleontour,686000,321513702,1214,People & Blogs,2018
612,Electric Callboy,684000,284279094,163,Music,2010
613,Monsterwolf Music,683000,117368249,616,Music,2013
614,BruderSpielwaren,683000,545265917,148,Autos & Vehicles,2012
615,Shayan Garcia,682000,72982956,146,Comedy,2017
616,SCHLAUSCHLEIM SAM,681000,421167075,911,People & Blogs,2018
617,My Name Is Andong,681000,67103414,232,Howto & Style,2009
618,Brox,678000,298540434,1251,Gaming,2020
619,Sneili Sneils,677000,320912513,1377,Gaming,2015
620,Thomas阿福,675000,131582177,419,Entertainment,2016
621,DoktorFroid,674000,251972841,1432,Gaming,2012
622,TechAltar,671000,73076894,206,Science & Technology,2013
623,FunVideoTV,670000,1122475880,147,Film & Animation,2010
624,Khursheed Rajput,670000,24500709,539,Education,2016
625,Rap Check,670000,416190291,5394,Entertainment,2014
626,Athletic Interest,668000,85028350,112,,2019
627,Nirami,668000,227455143,447,Film & Animation,2012
628,7 vs. Wild,668000,227266552,83,People & Blogs,2023
629,RTL,667000,1034540593,8242,Entertainment,2013
630,Mexify +,667000,107090392,349,Gaming,2020
631,Sahra Wagenknecht,664000,69065821,185,,2019
632,Moonlight Jewel,661000,74566083,148,Entertainment,2016
633,BodyKiss,661000,154137032,1045,Sports,2013
634,Die Frage,659000,151453700,383,People & Blogs,2016
635,Isabeau,657000,372274574,1099,Howto & Style,2013
636,Scooter,657000,371624825,203,Music,2005
637,G2 Esports,656000,134091647,1385,Gaming,2014
638,Blackout,655000,204708298,1435,People & Blogs,2016
639,Goal Deutschland,654000,66981718,2421,Sports,2017
640,Jessie Bluegrey,653000,647084839,370,Film & Animation,2020
641,mirellativegal,652000,181358209,812,Howto & Style,2012
642,Tamil Voice,651000,111063927,3707,Film & Animation,2015
643,Martin Wehrle: Coaching- und Karrieretipps,650000,150539859,1044,People & Blogs,2016
644,Raportagen,650000,76748411,57,Education,2017
645,JamooTv,650000,81869627,209,Music,2016
646,Kinder Cartoons,647000,709642138,1101,People & Blogs,2015
647,Miniatur Wunderland,645000,249322802,604,People & Blogs,2009
648,Cevheri Güven,643000,205963566,369,,2015
649,Simex,643000,372750654,1849,Entertainment,2015
650,AK AUSSERKONTROLLE,642000,314578206,31,People & Blogs,2017
651,Chrissi,641000,255233924,726,Entertainment,2018
652,ZDFbesseresser,641000,238033318,397,Education,2013
653,German Football,640000,124625530,797,Sports,2019
654,Stephan Gerick,639000,119235558,478,Entertainment,2011
655,Kikis Kitchen,637000,127969140,809,Howto & Style,2012
656,thisisvoyce,636000,190901172,421,People & Blogs,2009
657,Eligella,636000,166763447,1136,Gaming,2017
658,Maxim,634000,529339362,3609,Gaming,2012
659,KüsengsTV,634000,242327621,1018,People & Blogs,2016
660,Aimbrot,634000,166364634,1683,Gaming,2013
661,Gabi Fastner,633000,193541679,3588,Sports,2006
662,justin,631000,111721303,412,People & Blogs,2015
663,Rotpilz,631000,97542508,1194,Gaming,2013
664,Alice Merton,630000,432860009,64,Music,2014
665,في حكم الرسول,630000,53558259,547,Entertainment,2016
666,54vbz,629000,306111338,743,Entertainment,2014
667,Robert Hofmann,629000,437898403,7464,Entertainment,2011
668,Caroline ASMR,628000,154039275,350,Entertainment,2014
669,DieWolfs,627000,143332725,1011,Travel & Events,2010
670,Daniel Abt,627000,198447624,830,Autos & Vehicles,2010
671,LEA,627000,535134715,324,Entertainment,2007
672,Auto Addiction,624000,306994773,843,Autos & Vehicles,2015
673,PC-WELT,624000,156905676,2547,Science & Technology,2006
674,Dreemtum,624000,502392023,1739,Gaming,2012
675,ADCArtAttack,624000,81559043,346,,2012
676,Gebrüder Lange,622000,131200995,326,People & Blogs,2017
677,RuiN Reserve,618000,56881452,212,Gaming,2014
678,Biologie - simpleclub,617000,118165510,299,Education,2014
679,MrTrashpack,617000,144508771,846,Entertainment,2009
680,Sirius,614000,117058618,203,Gaming,2014
681,У Надюхи на кухне,614000,74816501,425,People & Blogs,2015
682,Bares für Rares,613000,490359286,1401,News & Politics,2006
683,Alicia Joe,612000,51107541,161,Howto & Style,2011
684,Shpetim,611000,600409331,761,Entertainment,2016
685,Dumm Tüch,611000,143723469,352,Entertainment,2014
686,Jules,611000,30046045,24,Entertainment,2020
687,SmoothMadnezz,609000,24580083,74,Gaming,2017
688,AUTO BILD,609000,564091674,7311,Autos & Vehicles,2006
689,Rocket Beans TV,609000,553092188,10196,Gaming,2012
690,Hashem Al-Ghaili,608000,113027567,479,Science & Technology,2008
691,Khaled Bozan,607000,158171198,2171,Education,2014
692,Kalle,607000,88491154,553,Gaming,2007
693,Ton Verändert,606000,158483825,1186,Entertainment,2016
694,FifaGoalsUnited,606000,282639652,3277,Gaming,2011
695,LarsLP,605000,291661708,2138,Gaming,2012
696,Meditation & Relaxation - Music channel,604000,50726867,180,Music,2015
697,Mefyou,604000,1749343,10,Entertainment,2015
698,Wisdom for Dominion,603000,60964314,941,People & Blogs,2016
699,Diana zur Löwen,602000,125851955,916,Entertainment,2012
700,Mensch Markus,601000,576151852,769,Entertainment,2013
701,Cars Town - Cartoons für Kinder,600000,173653711,12,People & Blogs,2017
702,Kliemannsland,595000,211451681,453,People & Blogs,2016
703,TPM - Top Persian Music,595000,209276223,5880,Music,2016
704,Breaking Lab,594000,100985066,594,Science & Technology,2016
705,Kinder Welt,593000,279246005,590,Entertainment,2016
706,Spiel mit mir - Apps und Games,593000,466365106,4146,Gaming,2016
707,Der Keller,590000,140527999,1119,Entertainment,2012
708,jannikfreestyle,590000,733066186,3353,Sports,2017
709,Mathias Mester,589000,382988066,260,Sports,2017
710,SecondTry,588000,213203983,1191,Gaming,2020
711,NoHandGaming Benji,587000,208950838,1621,Gaming,2014
712,datteltäter,587000,170892140,491,People & Blogs,2015
713,Mudi,587000,262056922,152,Music,2010
714,Meydan TV,586000,262974708,7758,News & Politics,2013
715,Anne Wünsche,585000,142636132,752,Entertainment,2010
716,Julia Lanske,584000,76650428,1210,Education,2012
717,Amar,584000,168528717,1328,Gaming,2014
718,KidMave,582000,234992484,1496,Entertainment,2015
719,Aviencloud,582000,348670470,1117,Music,2013
720,Disney Deutschland,581000,701577974,2356,Film & Animation,2007
721,Folien Prinz,580000,282575023,521,Autos & Vehicles,2017
722,RC TRUCK ACTION,579000,223814276,1200,Autos & Vehicles,2009
723,Azzlackz,579000,331444484,199,Entertainment,2014
724,KAYEF,578000,157250020,419,Entertainment,2009
725,Голос Германии,578000,68092525,540,Nonprofits & Activism,2012
726,HD Corleone ®,577000,21548133,76,Music,2010
727,KIS KIS - keep it short,577000,159457696,803,Entertainment,2018
728,Crunkz,576000,90950816,66,Entertainment,2010
729,DW Indonesia,576000,96066216,1760,Science & Technology,2012
730,Flakezc,575000,220425980,1111,Gaming,2017
731,Tages Spiegel,575000,330324791,7733,Entertainment,2017
732,Theresa Kirchner,574000,420787773,966,Entertainment,2016
733,KADR TV,571000,482044169,30,Music,2018
734,Air-Clips.com,571000,192967266,2483,Travel & Events,2011
735,bausashaus,571000,339391010,55,People & Blogs,2016
736,Mainstage,570128,0,0,Entertainment,2012
737,EsKay,569000,169238409,1285,Gaming,2013
738,darkviktory,568000,121919711,422,Comedy,2009
739,Thats.M.E,567000,92247057,559,Howto & Style,2014
740,Dima Rode,565000,868863812,27,People & Blogs,2021
741,Spielzeugtester,565000,759820210,1326,Entertainment,2014
742,Ngoko Tbl,564000,139242619,463,People & Blogs,2017
743,DerSorbus,561000,350842178,13071,Gaming,2010
744,DIY Inspiration,559000,311379585,4863,Howto & Style,2014
745,JONAS SHORTS,559000,765696925,1171,People & Blogs,2021
746,Kuhlewu,558000,88245522,379,Entertainment,2018
747,Shiine Culay,558000,63636366,973,People & Blogs,2015
748,Play & Learn Kids Games,557000,237183624,41,Entertainment,2015
749,WillShorts,557000,203345228,1509,Entertainment,2011
750,Marie Johnson,557000,95572894,591,Entertainment,2009
751,follow me.reports,555000,135319703,293,People & Blogs,2017
752,Голос Европы,555000,134172315,1036,News & Politics,2018
753,byStegi,554000,56660270,324,Gaming,2012
754,Last Minute Kitchen,554000,88875344,127,Howto & Style,2014
755,Niklas Wilson,553000,49996011,472,Entertainment,2020
756,Mina Rome,552000,54894043,293,People & Blogs,2014
757,SWR Marktcheck,551000,325214828,2196,Howto & Style,2010
758,Gibt's Nicht,550000,180248901,355,People & Blogs,2018
759,BARTMANN,550000,110782017,504,Entertainment,2014
760,Pete Ruppert UNIVERSE,550000,509942548,2995,Autos & Vehicles,2007
761,douniaslimani,549000,39095646,227,Howto & Style,2011
762,Mia and me,549000,335895016,1113,Film & Animation,2012
763,Vitamine,547000,223741151,2445,Gaming,2018
764,Fynn Kliemann,547000,81180309,70,Entertainment,2009
765,WooHoo DE,547000,503883777,1094,Howto & Style,2019
766,MadeMyDay RED,547000,213680040,1141,Entertainment,2014
767,ItsMarvin,545000,149018220,728,People & Blogs,2009
768,SWR Plus,545000,437091725,1982,Entertainment,2012
769,Topic,545000,490168869,103,Music,2013
770,Artus Weichert,543000,119792300,906,Gaming,2016
771,hOlyhexOr,543000,465755141,12905,Film & Animation,2006
772,H-Matter,543000,125155096,272,Entertainment,2016
773,CHECKER WELT,543000,395962584,328,Education,2017
774,ManyShorts,540000,89168,71,Entertainment,2012
775,Tamilfact,539000,96608093,417,Entertainment,2014
776,Danny Jesden,538000,185988000,2557,People & Blogs,2018
777,OttoBulletproof,537000,52173288,254,People & Blogs,2020
778,Gute Rezepte,536000,118704833,372,,2020
779,Streamfrei,535000,121114546,539,Entertainment,2020
780,TheChrisTezzShow,535000,86410760,497,Entertainment,2010
781,Klengan,535000,206341643,1797,Entertainment,2012
782,Verspieltes Gnu,534000,129039926,794,Gaming,2019
783,Julius,534000,154686386,1345,Gaming,2016
784,Pandorya,533000,175939161,4249,Gaming,2011
785,Eko Fresh,530000,231733500,833,Entertainment,2009
786,querlyNoMusic,530000,102656634,435,Autos & Vehicles,2011
787,Kim Petras,529000,191230148,236,People & Blogs,2007
788,WackenTV,529000,175905527,2165,Entertainment,2013
789,Physik - simpleclub,529000,91934901,307,Education,2014
790,Kleinanzeigen WG,529000,351989969,466,Entertainment,2010
791,Lecker mit Anastasiya Zefirka,528000,109135622,703,Howto & Style,2020
792,Lets-Bastel,527000,136548809,549,Entertainment,2015
793,Matthias Berger,526000,204340204,1619,Howto & Style,2010
794,Automann-TV,525000,439610766,1383,Autos & Vehicles,2009
795,NPLAY,523000,332754142,5369,Gaming,2013
796,iKnowReview,523000,176416975,923,Science & Technology,2013
797,Kool Savas Official | Essah TV,522000,362078354,344,Entertainment,2009
798,SXTN,522000,237021131,24,Entertainment,2015
799,Derya Ürkmez,522000,170417229,27,Music,2016
800,TechZone,521000,217572792,1583,People & Blogs,2016
801,2WEI,519000,261882307,96,,2017
802,Der Dunkle Parabelritter,518000,98320795,944,Entertainment,2012
803,Bam Crew,518000,0,0,People & Blogs,2015
804,Show Maker,518000,131470389,326,People & Blogs,2014
805,Rebell Army,516000,279192000,82,Music,2019
806,Fiago,516000,478697697,540,,2019
807,Bastian,515000,91725532,498,Gaming,2016
808,Royal Update ข่าวในพระราชสํานัก,515000,174698203,2245,,2019
809,Einfaches Rezept,514000,95059204,486,People & Blogs,2020
810,KenFM,512000,410168,1,Entertainment,2012
811,Oskar Artem,511000,56816230,130,People & Blogs,2015
812,SiccasGuitars,511000,165842180,1886,Music,2012
813,Bundeswehr Exclusive,510000,193755437,563,People & Blogs,2016
814,Twins,510000,228168063,208,Entertainment,2016
815,Bebe Bebe,508000,136047612,1631,Film & Animation,2008
816,Satter Hugo,507000,109296889,151,Entertainment,2020
817,Luna F. Darko,507000,35120992,431,People & Blogs,2012
818,rechyyy,506000,197341538,2110,Gaming,2007
819,Techtastisch - Experimente und 3D Druck,506000,105018830,580,Science & Technology,2014
820,MrsWikie5,505000,66625195,496,Howto & Style,2011
821,Domo,505000,199032369,638,Entertainment,2018
822,KATJA KRASAVICE MUSIC,504000,281551062,39,Entertainment,2019
823,HamedLoco,503000,157323719,606,Gaming,2015
824,Лучшие Зарубежные Боевики,502000,135661095,406,People & Blogs,2020
825,Game Two,502000,193862945,1020,Gaming,2016
826,BrokenThumbs,500000,0,0,Entertainment,2012
827,Achtung Kontrolle,500000,681508877,3738,Entertainment,2018
828,Falco,499000,46822916,244,Entertainment,2015
829,PJ Adventure - Paul Schridde,499000,89733330,398,Entertainment,2015
830,Cartoon Network Deutschland,498000,430621917,2502,Entertainment,2010
831,Rewigang,498000,149537065,1541,Gaming,2014
832,ZDF Satire,498000,405068806,1183,Entertainment,2011
833,Playmobil Deutsch,497000,429397817,875,Film & Animation,2006
834,MinecraftExpertDE,496000,79634575,1433,Gaming,2011
835,StrengGeheim,496000,81119420,249,Education,2013
836,Marius Angeschrien,495000,57139357,225,Entertainment,2014
837,Coach Stef,495000,94287488,765,Sports,2012
838,FiNCH,495000,256788421,165,Music,2014
839,Russak,495000,68746031,340,Entertainment,2014
840,XCageGame,494000,370838282,9129,Gaming,2014
841,DYMA,494000,396564210,915,Gaming,2019
842,TommyKay,494000,143670716,537,Gaming,2010
843,musicTap,493000,478710930,601,People & Blogs,2015
844,Naturensöhne,493000,84807214,489,People & Blogs,2015
845,Dennis Werth,492000,209614575,6621,Gaming,2009
846,Henry Hasselbach,491000,62685709,414,Howto & Style,2014
847,Tim Kellner,490000,42260176,170,People & Blogs,2015
848,4FRIENDS,489000,81117049,185,People & Blogs,2015
849,Zeo,489000,129155528,928,Entertainment,2013
850,NQRMAN,488000,72753665,319,Gaming,2013
851,HeracAy,488000,63455921,248,Entertainment,2015
852,Pocket Hazel,487000,108284610,471,Entertainment,2014
853,mathisox,487000,114484738,305,People & Blogs,2015
854,King Crimax,486000,108115554,740,Gaming,2019
855,Berliner Philharmoniker,486000,189943627,1275,Music,2009
856,EuroArtsChannel,484000,153101653,2136,Education,2009
857,CALLEkocht - Omas Rezepte,484000,125841273,626,Howto & Style,2014
858,Alexander Straub,484000,83603592,467,Entertainment,2011
859,Aloona Larionova,484000,37942365,145,Comedy,2015
860,Annikazion,482000,138358139,434,Entertainment,2014
861,Furdis,482000,126969860,568,Gaming,2010
862,Lukas Knopf,481000,104887230,789,Sports,2010
863,Matt Harnacke,481000,93072884,234,People & Blogs,2017
864,PhineasFifa,481000,91217543,654,Gaming,2013
865,DerHansus,480000,246988300,2138,Gaming,2011
866,Dhalucard,479000,395511941,19542,Gaming,2006
867,DREAM,478000,162808435,185,Entertainment,2016
868,Knuspertoast,478000,712987,2,Gaming,2011
869,der8auer,477000,104204237,945,Science & Technology,2006
870,Gizem Production,477000,352147064,43,People & Blogs,2012
871,Hensslers Schnelle Nummer,477000,113124398,735,Howto & Style,2012
872,ELoTRiX Playz,476000,19164035,115,Gaming,2011
873,Bibanator,476000,187857853,1610,Gaming,2006
874,Jodie Calussi,476000,71770953,480,People & Blogs,2014
875,Der Ömsen,476000,87017503,408,Entertainment,2010
876,(Fe)MaleASMR,475000,204158092,396,Entertainment,2014
877,Lukas Rieger,475000,33282639,20,Entertainment,2014
878,أسطُر,475000,126436084,1105,Education,2019
879,Family Fun,475000,350503293,962,Entertainment,2015
880,RedeFabrik - Kommunikation & Charisma,475000,57097941,707,People & Blogs,2016
881,DoktorFroid Reacts,474000,170610231,1676,People & Blogs,2010
882,CEL INA,473000,182070588,1449,Entertainment,2016
883,stern TV,473000,403910520,958,News & Politics,2015
884,Thomas kocht,473000,78189664,496,Howto & Style,2015
885,Hessischer Rundfunk,473000,384670294,7279,Entertainment,2008
886,Luisa Crashion,472000,85721681,420,Howto & Style,2012
887,PVP,472000,107026753,192,Entertainment,2014
888,Jo Jonas - Brawl Stars,472000,195671710,1138,Gaming,2020
889,Thomas Müller,471000,68851988,438,Sports,2016
890,flyinguweGaming,468000,90792728,964,Gaming,2015
891,Basteln,468000,122903319,281,Howto & Style,2012
892,FRAPZZ,467000,173996041,3951,Gaming,2013
893,Mego,467000,26917852,288,Gaming,2017
894,العرمرم العويقل,466000,315841645,133,Entertainment,2017
895,Google Deutschland,466000,169024587,483,Science & Technology,2007
896,ItzJul Shorts,465000,605797636,986,People & Blogs,2021
897,simayproduction,465000,345371731,316,Music,2012
898,دنيا محمد Dunia Mohammed,465000,106938823,611,Entertainment,2015
899,GamingWithMelina,464640,30817264,59,Gaming,2014
900,Schliingeel,464000,463691517,697,Entertainment,2020
901,offen un' ehrlich,464000,133342236,285,People & Blogs,2016
902,Klaus grillt,463000,164132024,1485,Howto & Style,2011
903,RINGLIFE,463000,136551622,788,Sports,2018
904,Eure Videos Fahrnünftig,462000,86444964,229,Autos & Vehicles,2019
905,TJ - Tim Jacken,462000,65638381,264,People & Blogs,2015
906,AdlerssonReview,460000,144404034,1608,Music,2013
907,Raja Meissner,460000,63933256,123,Music,2015
908,auto motor und sport,460000,294360767,3754,Autos & Vehicles,2007
909,KHV,460000,0,0,Entertainment,2018
910,Behdad TV,460000,191184778,93,Music,2015
911,Muggo,459000,196648124,1874,Howto & Style,2017
912,Fabio Schäfer,459000,69890655,621,Sports,2010
913,Robrox,457000,344480330,1423,Gaming,2020
914,MathemaTrick,457000,94282585,1122,Education,2014
915,Wailam,457000,81868019,248,Comedy,2015
916,DAZN FA Cup & Carabao Cup,456000,118832788,296,Sports,2017
917,RTL Talkshow,456000,625354780,6826,Entertainment,2013
918,Fixx,456000,100057673,2597,Gaming,2014
919,ninotakutv,455000,74000407,894,Film & Animation,2013
920,Sharivari,455000,78065458,206,Sports,2015
921,VDSIS - Von der Strasse ins Studio,455000,207778727,588,Nonprofits & Activism,2012
922,inselvideo,455000,232803929,962,Travel & Events,2010
923,XPI,455000,100503876,13,,2015
924,Fani Samri,454000,83477711,410,People & Blogs,2018
925,Märchen für Kinder - Gutenachtgeschichten,454000,279726705,640,Film & Animation,2016
926,SMOL German,454000,296263351,680,Howto & Style,2023
927,Execute,454000,305304920,318,Gaming,2012
928,Ascalter,454000,196535107,1871,Gaming,2011
929,BODY IP by Simon Teichmann,454000,116115396,1771,Sports,2010
930,JustBestGames,454000,117108067,2705,Gaming,2014
931,NurLive,452000,51679777,133,People & Blogs,2019
932,Thomas Sanladerer: Made with Layers,452000,76911674,541,Science & Technology,2013
933,Halle77 Dortmund,452000,222143845,825,Autos & Vehicles,2009
934,diefilmfabrik,451000,269730558,3498,Film & Animation,2012
935,latteartcity,451000,635796029,440,Howto & Style,2014
936,Alex Freerun,451000,448428033,1452,Entertainment,2018
937,Updoot Studios,451000,315129766,3408,Entertainment,2007
938,Fabian Baggeler,450000,320508088,411,Entertainment,2017
939,BluntedBeatz,450000,181811273,620,Music,2013
940,Arazhulino,450000,306743008,436,Gaming,2019
941,Get Germanized,450000,41427167,1345,Education,2009
942,Sarah Connor Official,450000,480246380,68,Music,2006
943,"LukasMusicRecords [Lukas, der Rapper]",449000,130330785,304,Entertainment,2012
944,Abdel,449000,52976775,273,Entertainment,2015
945,M539 Restorations,448000,77956667,122,Autos & Vehicles,2014
946,Logical Lemon,448000,34148612,75,Education,2017
947,Welt der Wunder,448000,152150684,395,Science & Technology,2006
948,Moritz Garth,448000,19430530,17,Entertainment,2013
949,SwagTab,448000,186554952,2006,Science & Technology,2012
950,ASMR Janina,447000,163276045,347,Entertainment,2017
951,Jasmin Gnu,447000,64753753,199,People & Blogs,2019
952,TOGGO,447000,169279189,992,Entertainment,2010
953,Helloween,446000,255025196,126,Music,2006
954,SAIFOND Officiel,445000,87969274,101,Music,2019
955,Candyland,445000,264954027,954,Gaming,2014
956,TobinatorLetsPlay,444000,196502837,11009,Gaming,2011
957,ILHAN BOZAN,444000,38650287,73,People & Blogs,2017
